epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9256,1.13203,1.99022,1.22137,0.8017,0.81548,0.87029,0.51901,1.1,2.25615,1.2055,0.000659176,0.000659176,0.000659176
2,30.4238,1.13056,1.39863,1.20358,0.67251,0.43452,0.51725,0.25651,1.7191,2.41175,2.01729,0.00129959,0.00129959,0.00129959
3,41.1608,1.16313,1.23869,1.24787,0.66742,0.89286,0.82895,0.51423,1.16188,1.59509,1.31274,0.00191361,0.00191361,0.00191361
4,52.4636,1.13668,1.05345,1.22824,0.81136,0.89607,0.89557,0.59042,1.08263,1.28921,1.15403,0.0018812,0.0018812,0.0018812
5,63.7222,1.06993,0.89364,1.1719,0.94534,0.95238,0.97505,0.68757,1.00159,0.6803,1.14396,0.0018416,0.0018416,0.0018416
6,75.4888,1.05533,0.85045,1.17127,0.93429,0.93452,0.97371,0.68483,1.02307,0.71074,1.14912,0.001802,0.001802,0.001802
7,87.2526,1.0399,0.82032,1.17484,0.8512,0.88533,0.91521,0.64315,1.02224,0.84615,1.15831,0.0017624,0.0017624,0.0017624
8,99.5149,1.03316,0.77784,1.16862,0.95254,0.95238,0.97123,0.69551,0.95144,0.69447,1.09233,0.0017228,0.0017228,0.0017228
9,110.861,0.98423,0.74082,1.13513,0.96375,0.95833,0.98049,0.72614,0.90442,0.62268,1.04802,0.0016832,0.0016832,0.0016832
10,121.962,0.92931,0.68976,1.10143,0.94737,0.97024,0.97843,0.72226,0.90365,0.58964,1.06388,0.0016436,0.0016436,0.0016436
11,133.185,0.9298,0.65848,1.09233,0.94681,0.95369,0.98433,0.70477,1.0235,0.61048,1.13584,0.001604,0.001604,0.001604
12,144.489,0.93204,0.66635,1.10175,0.9692,0.93669,0.97051,0.69902,0.93615,0.59419,1.06663,0.0015644,0.0015644,0.0015644
13,155.899,0.90233,0.63103,1.08933,0.97968,0.95238,0.9801,0.71021,0.92644,0.58348,1.09172,0.0015248,0.0015248,0.0015248
14,168.025,0.90557,0.63224,1.10072,0.93963,0.92642,0.96011,0.68131,1.01269,0.63448,1.14791,0.0014852,0.0014852,0.0014852
15,179.824,0.87562,0.60461,1.08147,0.97533,0.95833,0.98414,0.74083,0.86238,0.51408,1.03621,0.0014456,0.0014456,0.0014456
16,191.59,0.84054,0.59122,1.07485,0.93467,0.97024,0.98645,0.71552,0.94024,0.54213,1.10195,0.001406,0.001406,0.001406
17,202.662,0.86574,0.59264,1.07687,0.93753,0.99405,0.99026,0.74129,0.85099,0.48748,1.05538,0.0013664,0.0013664,0.0013664
18,213.804,0.84871,0.57699,1.05638,0.98508,0.97619,0.99128,0.74132,0.85981,0.51175,1.04156,0.0013268,0.0013268,0.0013268
19,224.685,0.84979,0.56981,1.07098,0.96956,0.97619,0.98202,0.74174,0.86132,0.50485,1.02783,0.0012872,0.0012872,0.0012872
20,235.35,0.84687,0.563,1.07815,0.97983,0.97619,0.98613,0.7563,0.86941,0.49759,1.04801,0.0012476,0.0012476,0.0012476
21,245.916,0.80175,0.54232,1.04418,0.95325,0.97089,0.98577,0.72894,0.90586,0.50837,1.10171,0.001208,0.001208,0.001208
22,256.639,0.82114,0.54202,1.06223,0.96695,0.95833,0.98236,0.74873,0.85301,0.50127,1.03312,0.0011684,0.0011684,0.0011684
23,268.305,0.78581,0.52192,1.0381,0.96307,0.95833,0.98216,0.73915,0.83267,0.49358,1.03486,0.0011288,0.0011288,0.0011288
24,279.168,0.79431,0.51709,1.04496,0.97285,0.95238,0.97943,0.73536,0.86188,0.51627,1.03845,0.0010892,0.0010892,0.0010892
25,290.87,0.76629,0.5061,1.03101,0.97545,0.97619,0.98385,0.75427,0.80507,0.46259,1.03048,0.0010496,0.0010496,0.0010496
26,302.886,0.77455,0.49043,1.02409,0.98188,0.9679,0.98133,0.74567,0.83453,0.4731,1.04634,0.00101,0.00101,0.00101
27,314.406,0.76291,0.50193,1.02334,0.98221,0.94643,0.98657,0.75136,0.84597,0.47159,1.05901,0.0009704,0.0009704,0.0009704
28,326.42,0.76122,0.49483,1.02128,0.97602,0.9691,0.98597,0.73581,0.83412,0.46695,1.03737,0.0009308,0.0009308,0.0009308
29,337.695,0.74236,0.47384,1.01215,0.98941,0.95833,0.99058,0.76129,0.82555,0.46026,1.00155,0.0008912,0.0008912,0.0008912
30,348.594,0.72852,0.47557,1.00458,0.97221,0.95833,0.97847,0.7626,0.78148,0.45752,1.01032,0.0008516,0.0008516,0.0008516
31,359.59,0.72591,0.4713,1.00608,0.9876,0.94853,0.98218,0.74741,0.82305,0.4655,1.01365,0.000812,0.000812,0.000812
32,371.145,0.73467,0.46695,1.00529,0.96404,0.95739,0.97683,0.73937,0.84087,0.48521,1.05084,0.0007724,0.0007724,0.0007724
33,382.397,0.69849,0.44618,1.00035,0.96868,0.97024,0.97688,0.76297,0.79482,0.44426,1.02659,0.0007328,0.0007328,0.0007328
34,395.27,0.69478,0.44498,0.98715,0.97432,0.94643,0.97839,0.75471,0.81919,0.47696,1.02226,0.0006932,0.0006932,0.0006932
35,406.896,0.68034,0.42167,0.98713,0.98787,0.96948,0.98896,0.77061,0.80364,0.4338,1.02059,0.0006536,0.0006536,0.0006536
36,418.423,0.6866,0.43974,0.99163,0.97373,0.95833,0.98061,0.77205,0.80223,0.42865,1.02757,0.000614,0.000614,0.000614
37,429.226,0.67713,0.43813,0.9851,0.98779,0.96287,0.99011,0.76984,0.77526,0.40308,1.00259,0.0005744,0.0005744,0.0005744
38,440.407,0.68222,0.42705,0.98815,0.99123,0.96429,0.98125,0.76055,0.78895,0.43611,1.02309,0.0005348,0.0005348,0.0005348
39,451.71,0.67185,0.40639,0.98153,0.98634,0.96429,0.97969,0.76927,0.78317,0.42941,1.00694,0.0004952,0.0004952,0.0004952
40,463.804,0.65614,0.39852,0.97317,0.97488,0.95833,0.98656,0.78231,0.75975,0.4268,1.00936,0.0004556,0.0004556,0.0004556
41,527.24,0.56416,0.33709,0.91949,0.97481,0.95833,0.97631,0.76486,0.79513,0.45102,0.99803,0.000416,0.000416,0.000416
42,538.09,0.5531,0.32643,0.90995,0.97617,0.97537,0.98243,0.76563,0.7828,0.41873,1.02855,0.0003764,0.0003764,0.0003764
43,548.76,0.53768,0.3228,0.90405,0.96416,0.97024,0.97997,0.768,0.7844,0.4283,1.02083,0.0003368,0.0003368,0.0003368
44,559.68,0.54654,0.32014,0.90562,0.97589,0.96376,0.97859,0.76142,0.78028,0.43035,1.03609,0.0002972,0.0002972,0.0002972
45,570.127,0.52626,0.31209,0.89812,0.96942,0.97619,0.97944,0.76921,0.78413,0.41769,1.03512,0.0002576,0.0002576,0.0002576
46,580.629,0.50749,0.3019,0.88632,0.97294,0.97024,0.97947,0.7736,0.78627,0.41624,1.02719,0.000218,0.000218,0.000218
47,591.122,0.50058,0.29801,0.88088,0.96915,0.97024,0.97725,0.76554,0.79126,0.39934,1.03544,0.0001784,0.0001784,0.0001784
48,602.214,0.50319,0.2876,0.88865,0.98069,0.95833,0.97914,0.76656,0.78724,0.39076,1.033,0.0001388,0.0001388,0.0001388
49,613.198,0.48197,0.28229,0.87975,0.96459,0.97286,0.97792,0.77012,0.78288,0.4051,1.03497,9.92e-05,9.92e-05,9.92e-05
50,624.885,0.47296,0.27841,0.87313,0.99025,0.95833,0.97928,0.76916,0.78356,0.39284,1.03229,5.96e-05,5.96e-05,5.96e-05
